Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,29,3273,585,33,5.6,3.7,87.9,112.9,11.5,33.2,.228,.367,.283,.284,.368,32.1,27.7,5.1,3.49,3.29
2016,30,3189,569,34,6.0,4.0,86.7,113.6,12.0,34.4,.223,.363,.275,.282,.350,30.4,26.4,6.6,3.14,3.31
2017,31,2945,471,25,5.3,3.2,85.3,111.6,10.5,33.8,.205,.325,.240,.248,.352,29.2,34.1,4.6,2.25,2.59
2018,32,3181,583,37,6.3,4.4,87.9,116.7,11.3,32.1,.227,.369,.270,.277,.359,34.5,26.4,4.0,2.89,3.20
2019,33,611,112,10,8.9,6.0,86.9,113.4,13.6,34.8,.254,.449,.353,.335,.392,38.4,22.6,8.9,5.80,5.02
2020,34,18,1,0,0.0,0.0,80.5,80.5,56.6,0.0,.010,.015,.233,.239,.019,0.0,33.3,33.3,0.00,2.38
2021,35,1338,221,15,6.8,4.4,86.9,116.6,13.9,34.8,.240,.372,.310,.309,.357,34.4,24.0,9.7,3.83,4.03
2022,36,2454,519,36,6.9,5.2,87.1,113.8,18.5,35.8,.261,.416,.316,.310,.370,34.7,20.2,3.0,4.33,4.00
