Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,29,3388,613,28,4.6,3.2,87.4,114.7,12.7,34.1,.230,.355,.270,.279,.352,30.8,25.3,5.3,2.45,3.17
2016,30,3595,666,42,6.3,4.4,87.8,113.0,11.5,32.4,.241,.400,.309,.298,.368,33.0,24.0,5.3,3.99,3.72
2017,31,1253,213,14,6.6,4.4,86.3,110.9,13.1,33.8,.230,.398,.285,.302,.359,32.1,24.0,7.6,3.38,3.90
2018,32,2716,485,34,7.0,4.7,88.7,121.1,14.7,33.2,.240,.409,.300,.313,.381,35.7,24.5,6.9,3.58,4.15
2019,33,1862,295,24,8.1,5.2,88.4,113.2,12.6,36.9,.244,.426,.319,.312,.402,38.3,27.9,7.0,4.28,4.29
2021,35,1178,237,12,5.1,3.7,86.8,113.5,8.3,32.1,.257,.384,.330,.312,.344,35.0,17.8,8.0,4.03,4.12
