Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2021,23,1845,276,16,5.8,3.5,86.8,117.9,16.3,32.6,.199,.321,.273,.281,.326,31.2,27.7,8.7,3.22,3.30
2022,24,2949,539,29,5.4,3.7,87.5,114.9,16.9,33.0,.224,.343,.261,.284,.329,31.5,22.9,6.5,2.24,3.31
