Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2016,25,364,70,3,4.3,3.0,91.6,108.9,3.1,24.3,.256,.375,.335,.326,.337,40.0,17.0,12.0,4.70,4.52
2018,27,505,78,1,1.3,0.7,87.2,108.8,-2.1,28.2,.209,.297,.301,.272,.337,32.1,29.6,11.1,3.34,3.08
2019,28,292,53,5,9.4,5.7,89.1,109.6,6.0,34.0,.223,.394,.327,.276,.382,35.8,31.8,5.7,6.33,3.31
2021,30,876,137,10,7.3,4.6,89.2,111.4,12.2,34.3,.225,.365,.279,.298,.347,36.5,24.5,9.3,2.52,3.73
2022,31,334,62,4,6.5,4.7,87.2,113.7,2.8,24.2,.183,.313,.293,.252,.271,37.1,19.8,5.8,2.42,2.59
