Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,32,779,160,8,5.0,3.8,86.9,110.8,9.0,30.6,.268,.420,.321,.341,.347,29.4,11.5,10.0,4.25,4.90
2016,33,209,42,0,0.0,0.0,88.9,112.2,17.0,38.1,.269,.379,.299,.295,.353,31.0,18.2,5.5,4.05,3.64
2017,34,1032,176,8,4.5,3.1,85.7,109.4,10.1,29.5,.223,.341,.292,.274,.324,28.4,23.7,7.0,2.74,3.17
