Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2017,23,977,165,15,9.1,6.1,88.1,115.8,15.7,43.6,.241,.448,.331,.315,.399,37.0,25.6,7.3,3.86,4.27
2018,24,311,45,3,6.7,4.2,89.4,113.1,20.0,42.2,.233,.376,.302,.313,.348,33.3,22.5,12.7,2.04,4.15
2019,25,143,20,1,5.0,3.0,91.5,107.7,17.3,35.0,.233,.432,.273,.361,.354,45.0,18.2,21.2,1.17,5.97
2020,26,210,36,1,2.8,1.9,87.3,104.3,22.4,36.1,.255,.367,.340,.307,.336,27.8,20.8,11.3,5.25,3.98
2021,27,530,95,9,9.5,6.4,88.9,111.6,18.1,37.9,.251,.415,.327,.342,.354,31.6,17.1,13.6,4.93,5.05
2022,28,241,50,6,12.0,8.7,87.6,113.8,20.3,44.0,.284,.518,.359,.362,.446,38.0,21.7,4.3,5.29,5.67
