Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,ATL,NL,345,4,8,6.15,16,15,0,74.2,80,56,51,9,41,48,1.62
2009,PIT,NL,416,5,9,4.55,18,18,0,97.0,102,49,49,7,40,62,1.46
2010,PIT,NL,382,2,12,7.57,17,17,0,79.2,112,79,67,15,26,59,1.73
2011,PIT,NL,769,10,10,3.83,29,29,0,171.2,186,82,73,6,77,110,1.53
2012,PIT,NL,223,2,6,4.65,9,9,0,50.1,62,30,26,5,11,25,1.45
2013,PIT,NL,493,7,4,3.26,20,20,0,116.0,113,51,42,6,36,85,1.28
2014,PIT,NL,666,6,12,3.72,26,26,0,157.1,143,76,65,9,57,126,1.27
2015,PIT,NL,563,9,9,4.81,23,23,0,129.0,137,77,69,13,41,96,1.38
2016,PHI,NL,71,1,1,4.15,4,4,0,17.1,15,8,8,1,8,19,1.33
2017,HOU,AL,617,14,7,3.62,25,25,0,146.2,125,65,59,14,50,163,1.19
2018,HOU,AL,695,15,3,3.13,30,30,0,167.0,130,63,58,18,64,201,1.16
2019,TB,AL,790,16,6,3.05,33,33,0,194.2,154,71,66,15,57,240,1.08
2020,TB,AL,170,2,2,4.74,9,9,0,38.0,43,21,20,4,10,42,1.39
2021,ATL,NL,756,14,6,3.34,33,33,0,185.2,136,77,69,16,58,216,1.04
2022,ATL,NL,728,9,6,4.34,31,31,0,172.0,149,85,83,28,63,205,1.23
