Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019,MIN,AL,104,0,1,3.24,18,1,0,25.0,29,9,9,3,1,25,1.20
2020,MIN,AL,57,1,0,3.00,11,0,0,15.0,11,5,5,2,3,17,0.93
2021,MIN,AL,75,0,0,6.89,15,0,0,15.2,16,12,12,2,10,26,1.66
