Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,NYY,AL,26,0,0,2.84,6,0,0,6.1,5,2,2,1,2,9,1.11
2008,NYY,AL,187,1,1,6.53,25,0,0,40.0,50,31,29,7,19,36,1.73
2008,PIT,NL,113,0,3,6.35,5,5,0,22.2,36,18,16,3,12,13,2.12
2008,2 Teams,,300,1,4,6.46,30,5,0,62.2,86,49,45,10,31,49,1.87
2009,PIT,NL,725,11,10,3.92,29,29,0,176.2,165,80,77,25,53,109,1.23
2010,PIT,NL,475,1,11,4.07,21,21,0,108.1,106,54,49,12,44,79,1.38
2011,PIT,NL,194,1,3,8.15,9,9,0,38.2,60,38,35,9,15,27,1.94
2012,SD,NL,233,4,4,7.77,13,9,0,48.2,62,44,42,7,24,39,1.77
2013,WSH,NL,247,4,1,3.28,16,7,0,60.1,56,22,22,8,14,45,1.16
2015,TEX,AL,85,3,1,3.72,21,0,1,19.1,21,8,8,4,7,19,1.45
