Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,STL,NL,260,4,1,2.78,15,9,0,64.2,52,20,20,5,19,65,1.10
2014,STL,NL,447,5,6,3.20,19,19,0,107.0,95,41,38,6,33,94,1.20
2015,STL,NL,762,17,7,3.38,30,30,0,181.1,162,74,68,19,58,153,1.21
2016,STL,NL,606,7,7,5.09,27,24,0,138.0,159,86,78,15,45,114,1.48
2017,STL,NL,701,12,9,4.13,30,30,0,165.2,170,82,76,17,55,158,1.36
2018,STL,NL,355,8,2,3.20,15,15,0,84.1,68,36,30,9,36,71,1.23
2019,STL,NL,562,6,7,4.76,29,24,0,126.2,143,71,67,26,55,104,1.56
2020,NYM,NL,156,1,4,6.62,8,7,0,34.0,46,26,25,9,7,37,1.56
2021,TB,AL,528,3,5,5.05,29,23,0,124.2,132,73,70,23,31,121,1.31
2022,BOS,AL,515,11,2,3.32,23,23,0,127.1,111,49,47,18,31,104,1.12
