Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1998,TOR,AL,53,1,0,1.93,2,2,0,14.0,9,4,3,2,2,13,0.79
1999,TOR,AL,668,8,7,3.92,36,18,1,149.1,156,76,65,19,79,82,1.57
2000,TOR,AL,349,4,7,10.64,19,13,0,67.2,107,87,80,14,42,44,2.20
2001,TOR,AL,432,5,3,3.16,17,16,0,105.1,97,41,37,3,25,96,1.16
2002,TOR,AL,993,19,7,2.93,34,34,0,239.1,223,93,78,10,62,168,1.19
2003,TOR,AL,1071,22,7,3.25,36,36,0,266.0,253,111,96,26,32,204,1.07
2004,TOR,AL,561,8,8,4.20,21,21,0,133.0,140,66,62,13,39,95,1.35
2005,TOR,AL,553,12,4,2.41,19,19,0,141.2,118,39,38,11,18,108,0.96
2006,TOR,AL,876,16,5,3.19,32,32,0,220.0,208,82,78,19,34,132,1.10
2007,TOR,AL,927,16,7,3.71,31,31,0,225.1,232,101,93,15,48,139,1.24
2008,TOR,AL,987,20,11,2.78,34,33,0,246.0,220,88,76,18,39,206,1.05
2009,TOR,AL,963,17,10,2.79,32,32,0,239.0,234,82,74,22,35,208,1.13
2010,PHI,NL,993,21,10,2.44,33,33,0,250.2,231,74,68,24,30,219,1.04
2011,PHI,NL,933,19,6,2.35,32,32,0,233.2,208,65,61,10,35,220,1.04
2012,PHI,NL,646,11,8,4.49,25,25,0,156.1,155,78,78,18,36,132,1.22
