Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2016,TOR,AL,16,0,0,12.00,5,0,0,3.0,6,4,4,1,0,5,2.00
2017,TOR,AL,95,2,0,4.43,23,0,0,22.1,23,13,11,6,5,15,1.25
2020,CHC,NL,3,0,0,0.00,1,0,0,1.0,0,0,0,0,0,1,0.00
