Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,HOU,NL,415,2,8,5.36,20,15,0,94.0,107,61,56,14,26,67,1.41
2012,HOU,NL,628,5,12,5.09,25,25,0,141.1,159,97,80,20,42,99,1.42
2013,HOU,AL,642,7,9,5.59,27,25,1,141.2,165,98,88,17,49,93,1.51
2014,COL,NL,546,7,4,4.33,22,22,0,126.2,127,64,61,12,46,90,1.37
2015,COL,NL,212,2,5,5.14,10,10,0,49.0,54,32,28,2,19,30,1.49
2016,COL,NL,273,4,5,5.83,40,5,1,58.2,69,46,38,4,28,32,1.65
2017,COL,NL,211,0,2,6.94,33,0,0,46.2,61,37,36,11,12,33,1.56
2017,SD,NL,113,1,3,9.39,5,5,0,23.0,35,24,24,5,10,22,1.96
2017,2 Teams,,324,1,5,7.75,38,5,0,69.2,96,61,60,16,22,55,1.69
2018,SD,NL,300,2,4,4.29,24,8,0,71.1,71,35,34,12,19,62,1.26
2018,MIL,NL,71,1,0,3.31,11,0,0,16.1,12,7,6,0,9,22,1.29
2018,2 Teams,,371,3,4,4.11,35,8,0,87.2,83,42,40,12,28,84,1.27
2019,PIT,NL,361,5,7,5.36,17,17,0,82.1,88,53,49,16,33,90,1.47
2019,MIL,NL,238,7,1,2.45,11,11,0,58.2,43,19,16,9,22,56,1.11
2019,2 Teams,,599,12,8,4.15,28,28,0,141.0,131,72,65,25,55,146,1.32
2020,TEX,AL,266,1,6,7.02,12,9,0,57.2,67,49,45,12,23,36,1.56
2021,TEX,AL,769,10,13,5.15,32,30,0,180.0,194,104,103,38,56,146,1.39
2022,BAL,AL,774,12,11,4.42,32,32,0,179.0,196,94,88,26,52,144,1.39
