Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2001,TEX,AL,53,0,1,6.75,4,0,0,12.0,13,9,9,3,7,4,1.67
2003,TEX,AL,513,9,8,5.09,38,13,1,116.2,135,68,66,16,38,94,1.48
2004,TEX,AL,480,6,7,5.61,25,15,1,104.1,136,77,65,17,33,57,1.62
2005,TEX,AL,134,1,2,6.67,9,4,0,29.2,29,23,22,4,17,15,1.55
2006,TEX,AL,18,0,1,18.90,1,1,0,3.1,8,7,7,6,1,1,2.70
2008,SEA,AL,500,5,8,5.21,32,14,0,112.1,124,65,65,15,51,58,1.56
2009,MIN,AL,293,1,1,4.62,35,1,0,64.1,74,34,33,8,30,42,1.62
2010,NYM,NL,713,11,9,2.84,27,26,0,174.1,165,62,55,13,42,104,1.19
2011,NYM,NL,876,8,13,3.28,33,32,0,208.2,202,85,76,18,54,134,1.23
2012,NYM,NL,927,20,6,2.73,34,33,0,233.2,192,78,71,24,54,230,1.05
2013,TOR,AL,943,14,13,4.21,34,34,0,224.2,207,113,105,35,71,177,1.24
2014,TOR,AL,914,14,13,3.71,34,34,0,215.2,191,101,89,26,74,173,1.23
2015,TOR,AL,884,11,11,3.91,33,33,0,214.1,195,97,93,25,61,126,1.19
2016,TOR,AL,728,10,15,4.46,30,29,0,169.2,169,97,84,28,63,126,1.37
