Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2016,SF,NL,43,1,0,3.60,7,0,0,10.0,11,4,4,1,5,6,1.60
2017,SF,NL,256,4,4,3.68,13,10,1,58.2,59,25,24,5,28,51,1.48
2018,SF,NL,625,10,10,5.09,28,26,0,145.0,153,87,82,19,54,112,1.43
2019,LAA,AL,144,0,2,8.59,7,5,0,29.1,43,28,28,6,18,22,2.08
2019,PIT,NL,200,1,1,3.66,28,0,0,46.2,50,22,19,7,15,47,1.39
2019,2 Teams,,344,1,3,5.57,35,5,0,76.0,93,50,47,13,33,69,1.66
2020,PIT,NL,131,2,1,3.90,27,0,0,30.0,26,19,13,3,13,39,1.30
2021,PIT,NL,337,7,1,3.63,68,0,8,79.1,70,34,32,9,33,86,1.30
2022,PIT,NL,181,5,4,5.09,40,1,2,40.2,50,26,23,4,13,37,1.55
2022,STL,NL,98,5,0,2.78,20,0,0,22.2,22,8,7,0,12,23,1.50
2022,2 Teams,,279,10,4,4.26,60,1,2,63.1,72,34,30,4,25,60,1.53
