Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,HOU,NL,249,6,3,4.53,11,10,0,55.2,59,29,28,9,25,54,1.51
2010,HOU,NL,683,9,10,4.92,27,27,0,153.2,151,94,84,18,77,158,1.48
2011,HOU,NL,795,6,11,3.77,31,31,0,186.0,177,93,78,24,70,176,1.33
2012,HOU,NL,733,7,13,4.65,29,29,0,168.1,165,90,87,23,66,165,1.37
2013,HOU,AL,541,6,9,3.93,21,21,0,126.0,135,62,55,11,43,90,1.41
2013,BAL,AL,232,4,3,4.80,11,9,0,50.2,61,27,27,6,24,57,1.68
2013,2 Teams,,773,10,12,4.18,32,30,0,176.2,196,89,82,17,67,147,1.49
2014,BAL,AL,687,15,8,3.65,28,28,0,165.1,149,68,67,20,52,139,1.22
2015,BAL,AL,305,2,9,7.06,18,11,0,66.1,84,57,52,14,25,50,1.64
2015,SD,NL,72,1,2,5.40,20,0,0,16.2,16,11,10,1,6,21,1.32
2015,2 Teams,,377,3,11,6.72,38,11,0,83.0,100,68,62,15,31,71,1.58
2016,ATL,NL,301,3,7,4.22,22,10,0,70.1,68,34,33,6,28,60,1.36
2016,LAD,NL,194,3,3,6.54,13,9,0,42.2,48,33,31,8,21,42,1.62
2016,2 Teams,,495,6,10,5.10,35,19,0,113.0,116,67,64,14,49,102,1.46
2017,LAA,AL,267,2,6,4.21,60,3,19,62.0,56,29,29,8,27,74,1.34
