Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2021,LAA,AL,101,1,3,7.40,5,5,0,20.2,26,17,17,5,11,19,1.79
2022,LAA,AL,539,7,6,3.77,25,25,0,129.0,110,56,54,13,46,122,1.21
