Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,TOR,AL,136,1,3,4.50,13,3,0,32.0,32,16,16,5,11,16,1.34
2013,TOR,AL,132,1,0,2.70,10,3,0,33.1,31,13,10,3,6,15,1.11
2014,TOR,AL,136,1,1,2.56,21,0,0,31.2,34,10,9,2,6,18,1.26
