Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,SD,NL,198,2,0,1.68,27,3,0,48.1,41,9,9,3,21,24,1.28
2012,SD,NL,411,2,8,4.73,24,15,1,97.0,89,59,51,10,39,80,1.32
2013,SD,NL,193,0,0,5.36,24,0,0,42.0,51,26,25,4,20,31,1.69
2014,HOU,AL,119,1,1,6.33,21,0,2,27.0,32,20,19,6,7,7,1.44
2015,TEX,AL,272,0,0,4.50,33,0,0,64.0,66,33,32,5,20,45,1.34
2017,TEX,AL,31,0,0,14.29,2,0,0,5.2,14,9,9,1,0,1,2.47
2018,CHC,NL,62,0,0,2.93,16,0,0,15.1,18,6,5,1,3,14,1.37
2019,SEA,AL,189,2,4,3.56,44,0,5,48.0,30,20,19,5,17,43,0.98
2020,TOR,AL,100,2,3,3.51,26,0,7,25.2,17,13,10,2,9,21,1.01
2021,MIA,NL,260,3,9,3.82,70,1,0,61.1,55,33,26,11,24,58,1.29
2022,MIA,NL,173,2,3,1.41,45,0,0,44.2,32,10,7,1,10,45,0.94
2022,TOR,AL,102,2,0,1.75,28,0,0,25.2,19,5,5,5,10,28,1.13
2022,2 Teams,,275,4,3,1.54,73,0,0,70.1,51,15,12,6,20,73,1.01
