Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,BAL,AL,449,6,6,4.66,18,18,0,100.1,106,57,52,9,48,52,1.53
2011,BAL,AL,523,10,8,5.05,22,22,0,119.1,115,70,67,21,59,93,1.46
2012,BAL,AL,496,3,9,6.20,24,18,0,114.2,122,82,79,16,35,109,1.37
2013,BAL,AL,111,1,2,7.23,5,5,0,23.2,25,19,19,2,17,23,1.77
2013,CHC,NL,213,4,2,3.66,9,9,0,51.2,34,22,21,7,24,37,1.12
2013,2 Teams,,324,5,4,4.78,14,14,0,75.1,59,41,40,9,41,60,1.33
2014,CHC,NL,614,10,5,2.53,25,25,0,156.2,114,46,44,5,41,167,0.99
2015,CHC,NL,870,22,6,1.77,33,33,0,229.0,150,52,45,10,48,236,0.86
2016,CHC,NL,795,18,8,3.10,31,31,0,197.1,138,72,68,16,76,190,1.08
2017,CHC,NL,707,14,10,3.53,30,30,0,168.1,150,82,66,23,55,163,1.22
2018,PHI,NL,724,10,11,3.96,31,31,0,172.2,165,93,76,21,57,138,1.29
2019,PHI,NL,594,8,8,4.64,24,24,0,135.2,149,76,70,21,51,110,1.47
2020,PHI,NL,190,4,4,5.08,9,9,0,44.1,51,25,25,6,16,32,1.51
2021,CHC,NL,409,5,11,6.88,20,20,0,86.1,113,75,66,21,39,74,1.76
2021,SD,NL,60,0,3,10.95,4,4,0,12.1,18,16,15,3,5,9,1.86
