Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,MIN,AL,171,3,2,1.76,49,0,0,46.0,24,11,9,4,14,39,0.83
2014,MIN,AL,206,2,1,3.40,54,0,0,47.2,51,19,18,3,16,35,1.41
2015,MIN,AL,20,0,0,5.40,6,0,0,5.0,5,3,3,0,0,5,1.00
2020,MIN,AL,82,2,1,2.25,17,0,0,20.0,14,6,5,0,9,22,1.15
2021,MIN,AL,266,7,0,3.23,59,0,0,64.0,55,24,23,8,20,77,1.17
2022,MIN,AL,245,4,3,3.49,67,0,1,59.1,51,26,23,5,18,80,1.16
