Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,MIN,AL,138,4,2,2.19,32,0,0,37.0,23,9,9,6,6,53,0.78
2007,MIN,AL,278,7,2,2.94,74,0,0,70.1,44,25,23,7,27,74,1.01
2008,MIN,AL,56,0,1,4.73,15,0,0,13.1,12,7,7,2,4,15,1.20
2010,MIN,AL,43,0,1,5.00,11,0,0,9.0,7,5,5,1,8,9,1.67
2011,SD,NL,112,1,1,4.01,25,0,0,24.2,19,12,11,4,22,20,1.66
2012,OAK,AL,77,2,1,1.37,24,0,0,19.2,10,3,3,3,6,16,0.81
2013,OAK,AL,177,2,1,3.35,45,0,0,40.1,40,17,15,6,15,29,1.36
2014,STL,NL,255,7,2,1.87,71,0,6,67.1,44,14,14,4,9,68,0.79
2015,HOU,AL,223,3,6,3.62,66,0,1,54.2,49,25,22,8,12,51,1.12
2016,HOU,AL,185,2,2,3.06,60,0,0,47.0,33,17,16,6,11,43,0.94
2017,PHI,NL,148,3,2,1.12,43,0,1,40.1,28,5,5,2,5,45,0.82
2017,COL,NL,87,2,1,2.45,28,0,0,22.0,20,8,6,1,1,24,0.95
2017,2 Teams,,235,5,3,1.59,71,0,1,62.1,48,13,11,3,6,69,0.87
2018,PHI,NL,101,3,2,2.59,30,0,5,24.1,23,9,7,2,5,15,1.15
