Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,MIN,AL,49,1,0,3.27,7,0,0,11.0,14,7,4,2,3,5,1.55
2015,MIN,AL,58,0,1,6.75,11,0,0,13.1,12,10,10,4,6,14,1.35
