Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,HOU,AL,231,1,1,4.37,19,7,0,55.2,50,28,27,5,21,58,1.28
2016,PHI,NL,551,8,6,4.12,24,24,0,131.0,129,64,60,21,45,152,1.33
2017,PHI,NL,315,2,7,5.13,15,15,0,72.0,74,44,41,15,34,68,1.50
2018,PHI,NL,630,9,12,4.85,31,30,0,146.2,138,83,79,16,59,161,1.34
2019,PHI,NL,516,7,8,4.91,33,23,0,117.1,120,69,64,26,43,130,1.39
2020,PHI,NL,154,1,1,5.56,9,7,0,34.0,36,21,21,5,17,46,1.56
2021,PHI,NL,361,3,6,5.95,21,17,0,81.2,76,55,54,17,45,85,1.48
2021,SD,NL,56,0,3,8.53,4,4,0,12.2,15,13,12,6,4,16,1.50
2021,2 Teams,,417,3,9,6.30,25,21,0,94.1,91,68,66,23,49,101,1.48
2022,CWS,AL,319,3,3,4.78,27,9,0,75.1,68,42,40,11,25,69,1.23
