Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,PIT,NL,7,0,0,13.50,1,0,0,1.1,1,2,2,0,1,1,1.50
2007,PIT,NL,76,0,3,5.29,5,3,0,17.0,24,11,10,3,5,7,1.71
2008,CLE,AL,60,0,2,4.91,3,2,0,14.2,15,9,8,4,2,12,1.16
2009,TOR,AL,31,0,0,3.00,4,0,0,6.0,7,2,2,0,6,5,2.17
