Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1993,FLA,NL,152,2,2,3.28,28,0,2,35.2,24,13,13,5,19,26,1.21
1993,SD,NL,239,2,4,4.31,39,0,3,54.1,56,30,26,5,20,53,1.40
1993,2 Teams,,391,4,6,3.90,67,0,5,90.0,80,43,39,10,39,79,1.32
1994,SD,NL,225,4,4,2.57,47,0,20,56.0,39,16,16,4,20,68,1.05
1995,SD,NL,218,7,4,3.88,55,0,31,53.1,48,25,23,10,14,52,1.16
1996,SD,NL,348,9,5,2.25,70,0,42,88.0,50,23,22,6,31,111,0.92
1997,SD,NL,322,6,4,2.66,70,0,37,81.1,59,25,24,9,24,111,1.02
1998,SD,NL,274,4,2,1.48,66,0,53,73.0,41,12,12,2,21,86,0.85
1999,SD,NL,263,2,3,2.14,63,0,40,67.1,48,23,16,5,15,73,0.94
2000,SD,NL,291,4,7,2.99,70,0,43,72.1,61,29,24,7,11,85,1.00
2001,SD,NL,248,3,4,3.43,62,0,43,60.1,48,25,23,10,21,63,1.14
2002,SD,NL,245,2,5,2.73,61,0,38,59.1,52,20,18,2,18,69,1.18
2003,SD,NL,36,0,0,2.00,9,0,0,9.0,7,2,2,1,3,11,1.11
2004,SD,NL,209,3,3,2.30,55,0,41,54.2,42,14,14,5,8,53,0.91
2005,SD,NL,240,1,6,2.97,60,0,43,57.2,52,23,19,3,12,54,1.11
2006,SD,NL,248,0,2,2.14,65,0,46,63.0,48,16,15,6,13,50,0.97
2007,SD,NL,235,4,5,2.98,61,0,42,57.1,49,21,19,2,15,44,1.12
2008,SD,NL,180,3,6,3.77,48,0,30,45.1,38,19,19,8,9,46,1.04
2009,MIL,NL,210,3,2,1.83,55,0,37,54.0,35,11,11,2,14,48,0.91
