Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2000,CWS,AL,225,4,1,4.21,28,3,0,51.1,55,27,24,5,19,37,1.44
2001,CWS,AL,885,16,8,3.29,32,32,0,221.1,188,89,81,24,48,126,1.07
2002,CWS,AL,984,19,12,3.58,34,34,0,239.0,236,102,95,25,61,134,1.24
2003,CWS,AL,978,14,14,4.14,35,35,0,230.1,250,124,106,22,61,119,1.35
2004,CWS,AL,1016,16,10,3.89,35,35,0,245.1,257,119,106,33,51,165,1.26
2005,CWS,AL,971,16,8,3.12,33,33,0,236.2,240,99,82,20,40,149,1.18
2006,CWS,AL,876,12,13,4.99,32,32,0,204.0,247,124,113,36,48,98,1.45
2007,CWS,AL,835,10,9,3.63,30,30,0,201.0,208,86,81,22,45,115,1.26
2008,CWS,AL,918,15,12,3.79,34,34,0,218.2,240,106,92,22,52,140,1.34
2009,CWS,AL,874,13,10,3.84,33,33,0,213.1,222,97,91,27,45,105,1.25
2010,CWS,AL,897,13,13,4.28,33,33,0,210.1,246,105,100,17,49,99,1.40
2011,CWS,AL,858,13,9,3.59,31,31,0,205.1,221,93,82,21,45,109,1.30
2012,MIA,NL,828,13,13,3.74,31,31,0,202.1,197,88,84,26,40,125,1.17
2013,TOR,AL,876,12,10,4.15,33,33,0,203.2,223,100,94,24,51,139,1.35
2014,TOR,AL,857,13,10,3.39,32,32,0,202.0,228,83,76,15,46,119,1.36
