Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,ATL,NL,88,4,0,0.44,21,0,1,20.2,9,2,1,0,16,40,1.21
2011,ATL,NL,306,4,3,2.10,79,0,46,77.0,48,19,18,3,32,127,1.04
2012,ATL,NL,231,3,1,1.01,63,0,42,62.2,27,7,7,3,14,116,0.65
2013,ATL,NL,258,4,3,1.21,68,0,50,67.0,39,10,9,4,20,98,0.88
2014,ATL,NL,244,0,3,1.61,63,0,47,61.2,30,13,11,2,26,95,0.91
2015,SD,NL,239,4,2,2.58,61,0,39,59.1,40,19,17,6,22,87,1.04
2016,BOS,AL,220,2,6,3.40,57,0,31,53.0,28,22,20,4,30,83,1.09
2017,BOS,AL,254,5,0,1.43,67,0,35,69.0,33,11,11,6,14,126,0.68
2018,BOS,AL,247,5,1,2.74,63,0,42,62.1,31,19,19,7,31,96,0.99
2019,CHC,NL,96,0,4,6.53,23,0,13,20.2,21,15,15,9,12,30,1.60
2020,CHC,NL,69,0,1,5.28,18,0,2,15.1,10,9,9,2,12,28,1.43
2021,CHC,NL,137,2,3,0.49,39,0,23,36.2,13,6,2,1,13,64,0.71
2021,CWS,AL,98,2,2,5.09,24,0,1,23.0,18,13,13,5,10,36,1.22
2021,2 Teams,,235,4,5,2.26,63,0,24,59.2,31,19,15,6,23,100,0.91
2022,LAD,NL,260,6,7,3.75,63,0,22,60.0,51,31,25,4,28,72,1.32
