Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,SD,NL,120,0,0,2.60,24,0,0,27.2,22,12,8,3,18,33,1.45
2013,SD,NL,94,0,1,2.86,18,0,1,22.0,19,9,7,3,13,24,1.45
2014,TB,AL,247,5,2,2.37,63,0,2,64.2,34,17,17,9,20,104,0.84
2015,TB,AL,271,4,10,3.71,69,0,41,63.0,54,29,26,9,32,74,1.37
2016,TB,AL,114,4,3,4.81,27,0,0,24.1,23,13,13,3,19,22,1.73
2017,TB,AL,121,4,4,3.38,30,0,0,29.1,23,11,11,4,11,40,1.16
2018,AZ,NL,235,3,7,4.39,60,0,32,53.1,44,30,26,9,32,71,1.43
2019,KC,AL,122,1,3,5.40,29,0,1,26.2,25,16,16,3,17,27,1.58
2020,MIA,NL,79,1,0,3.00,23,0,0,18.0,17,7,6,3,8,18,1.39
2021,MIL,NL,266,5,4,3.34,71,0,4,64.2,44,26,24,8,25,83,1.07
2022,MIL,NL,268,4,3,2.95,70,0,1,64.0,52,23,21,6,27,68,1.23
