Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1995,MIN,AL,131,2,3,8.67,6,6,0,27.0,39,29,26,3,12,9,1.89
1996,MIN,AL,124,1,1,8.20,7,6,0,26.1,42,24,24,8,9,24,1.94
1997,MIN,AL,478,6,12,5.84,20,20,0,103.1,134,71,67,19,47,58,1.75
1998,MIN,AL,840,7,14,5.25,33,33,0,190.1,227,126,111,27,61,105,1.51
1999,MIN,AL,803,10,14,6.66,33,33,0,174.1,238,136,129,29,60,103,1.71
2000,MIN,AL,370,2,5,3.39,66,0,14,87.2,85,34,33,7,32,59,1.33
2001,MIN,AL,248,1,5,5.96,62,0,28,51.1,59,34,34,3,39,36,1.91
2002,MIN,AL,310,6,0,2.13,65,0,0,80.1,63,23,19,5,15,63,0.97
2003,MIN,AL,310,9,3,1.86,74,0,2,77.1,69,20,16,4,15,75,1.09
2004,CHC,NL,333,5,4,2.63,77,0,25,82.0,72,27,24,10,14,69,1.05
2005,CHC,NL,80,1,4,3.32,21,0,4,19.0,18,9,7,4,7,13,1.32
2005,SF,NL,167,1,4,4.10,45,0,2,37.1,40,18,17,3,17,30,1.53
2005,2 Teams,,247,2,8,3.83,66,0,6,56.1,58,27,24,7,24,43,1.46
2006,BAL,AL,261,3,2,4.48,60,0,0,60.1,73,30,30,4,15,27,1.46
2007,COL,NL,225,2,5,3.42,62,0,0,55.1,52,21,21,6,16,29,1.23
2008,NYY,AL,173,1,1,5.71,33,0,0,41.0,42,26,26,3,17,23,1.44
2008,HOU,NL,79,2,0,0.43,24,0,1,21.0,11,3,1,0,5,25,0.76
2008,2 Teams,,252,3,1,3.92,57,0,1,62.0,53,29,27,3,22,48,1.21
2009,HOU,NL,259,1,4,2.13,65,0,11,63.1,60,16,15,7,16,45,1.20
2010,MIL,NL,74,0,3,8.44,18,0,0,16.0,21,15,15,2,6,18,1.69
2011,MIL,NL,204,3,1,2.42,52,0,0,48.1,50,15,13,1,10,28,1.24
2012,LAA,AL,178,2,3,3.64,48,0,1,42.0,45,20,17,5,13,23,1.38
2013,NYM,NL,288,3,2,2.93,72,0,13,70.2,71,27,23,6,10,55,1.15
2014,COL,NL,226,4,3,3.31,57,0,23,54.1,52,23,20,3,13,32,1.20
2015,COL,NL,89,2,1,3.63,24,0,2,22.1,22,9,9,3,4,20,1.16
2015,TOR,AL,73,1,0,2.76,18,0,1,16.1,22,7,5,1,3,14,1.53
