Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,COL,NL,77,2,1,5.40,4,4,0,18.1,19,11,11,0,5,13,1.31
2012,COL,NL,434,2,9,4.93,22,22,0,96.2,97,57,53,14,46,83,1.48
2013,COL,NL,105,0,4,6.23,8,4,0,21.2,25,15,15,4,19,19,2.03
2014,OAK,AL,278,5,4,2.35,20,10,0,69.0,51,22,18,7,26,64,1.12
2015,OAK,AL,357,5,6,3.66,53,9,3,86.0,71,44,35,8,31,82,1.19
2016,SD,NL,411,8,7,2.47,17,17,0,102.0,67,30,28,8,41,115,1.06
2016,BOS,AL,292,3,5,4.59,14,13,0,68.2,70,35,35,14,24,71,1.37
2016,2 Teams,,703,11,12,3.32,31,30,0,170.2,137,65,63,22,65,186,1.18
2017,BOS,AL,740,17,6,3.32,32,32,0,173.2,166,69,64,19,69,174,1.35
2018,BOS,AL,344,2,6,6.08,26,11,0,74.0,87,53,50,12,44,66,1.77
2019,SF,NL,355,2,9,5.68,21,17,0,77.2,89,51,49,17,36,92,1.61
2019,MIL,NL,100,0,1,2.39,25,1,2,26.1,16,7,7,4,8,45,0.91
2019,2 Teams,,455,2,10,4.85,46,18,2,104.0,105,58,56,21,44,137,1.43
2020,SD,NL,73,1,0,1.45,20,0,4,18.2,9,3,3,1,10,29,1.02
