Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,DET,AL,54,0,2,7.15,2,2,0,11.1,15,9,9,1,5,7,1.76
2006,DET,AL,776,17,9,3.63,30,30,0,186.0,187,78,75,21,60,124,1.33
2007,DET,AL,866,18,6,3.66,32,32,0,201.2,181,88,82,20,67,183,1.23
2008,DET,AL,880,11,17,4.84,33,33,0,201.0,195,119,108,18,87,163,1.40
2009,DET,AL,982,19,9,3.45,35,35,0,240.0,219,99,92,20,63,269,1.18
2010,DET,AL,925,18,9,3.37,33,33,0,224.1,190,89,84,14,71,219,1.16
2011,DET,AL,969,24,5,2.40,34,34,0,251.0,174,73,67,24,57,250,0.92
2012,DET,AL,956,17,8,2.64,33,33,0,238.1,192,81,70,19,60,239,1.06
2013,DET,AL,925,13,12,3.46,34,34,0,218.1,212,94,84,19,75,217,1.31
2014,DET,AL,893,15,12,4.54,32,32,0,206.0,223,114,104,18,65,159,1.40
2015,DET,AL,535,5,8,3.38,20,20,0,133.1,113,56,50,13,32,113,1.09
2016,DET,AL,903,16,9,3.04,34,34,0,227.2,171,81,77,30,57,254,1.00
2017,DET,AL,729,10,8,3.82,28,28,0,172.0,153,76,73,23,67,176,1.28
2017,HOU,AL,120,5,0,1.06,5,5,0,34.0,17,4,4,4,5,43,0.65
2017,2 Teams,,849,15,8,3.36,33,33,0,206.0,170,80,77,27,72,219,1.17
2018,HOU,AL,833,16,9,2.52,34,34,0,214.0,156,63,60,28,37,290,0.90
2019,HOU,AL,847,21,6,2.58,34,34,0,223.0,137,66,64,36,42,300,0.80
2020,HOU,AL,21,1,0,3.00,1,1,0,6.0,3,2,2,2,1,7,0.67
