Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,CHC,NL,248,2,6,4.80,53,0,0,54.1,55,31,29,8,30,50,1.56
2011,CHC,NL,39,0,0,1.69,7,1,0,10.2,3,2,2,1,4,8,0.66
2012,SD,NL,196,3,4,4.27,33,5,0,46.1,42,23,22,5,19,52,1.32
2013,SD,NL,707,10,9,3.09,31,26,0,175.0,151,68,60,12,47,128,1.13
2014,SD,NL,506,5,7,2.55,19,19,0,123.1,110,42,35,7,29,93,1.13
2015,SD,NL,804,6,16,4.34,31,31,0,184.2,200,111,89,19,66,165,1.44
2016,SD,NL,347,4,7,4.76,16,16,0,79.1,80,47,42,13,30,67,1.39
2016,MIA,NL,241,1,4,5.98,12,11,0,52.2,62,36,35,6,30,45,1.75
2016,2 Teams,,588,5,11,5.25,28,27,0,132.0,142,83,77,19,60,112,1.53
2017,TEX,AL,704,11,11,3.40,28,28,0,166.2,156,75,63,15,64,86,1.32
2018,BAL,AL,681,4,15,5.29,28,28,0,153.0,177,97,90,25,65,99,1.58
2019,BAL,AL,400,9,3,3.83,17,17,0,96.1,86,45,41,11,29,66,1.19
2019,BOS,AL,236,2,5,6.20,25,6,1,53.2,58,39,37,8,29,42,1.62
