Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2002,CLE,AL,44,0,1,1.74,2,2,0,10.1,6,2,2,0,8,6,1.35
2003,CLE,AL,210,3,3,3.61,9,9,0,52.1,41,28,21,7,20,44,1.17
2004,CLE,AL,802,14,8,5.43,33,33,0,179.0,188,113,108,30,81,161,1.50
2005,CLE,AL,838,18,5,3.79,32,32,0,202.0,194,91,85,22,52,143,1.22
2006,CLE,AL,882,14,11,4.40,33,33,0,200.2,224,114,98,29,58,129,1.41
2007,CLE,AL,443,5,8,6.29,20,16,0,97.1,112,73,68,17,36,66,1.52
2008,CLE,AL,891,22,3,2.54,31,31,0,223.1,214,68,63,12,34,170,1.11
2009,CLE,AL,641,7,9,3.14,22,22,0,152.0,165,53,53,10,33,107,1.30
2009,PHI,NL,328,7,4,3.39,12,12,0,79.2,80,35,30,7,10,74,1.13
2009,2 Teams,,969,14,13,3.22,34,34,0,231.2,245,88,83,17,43,181,1.24
2010,SEA,AL,408,8,3,2.34,13,13,0,103.2,92,31,27,5,6,89,0.95
2010,TEX,AL,435,4,6,3.98,15,15,0,108.2,103,53,48,11,12,96,1.06
2010,2 Teams,,843,12,9,3.18,28,28,0,212.1,195,84,75,16,18,185,1.00
2011,PHI,NL,920,17,8,2.40,32,32,0,232.2,197,66,62,18,42,238,1.03
2012,PHI,NL,847,6,9,3.16,30,30,0,211.0,207,79,74,26,28,207,1.11
2013,PHI,NL,876,14,8,2.87,31,31,0,222.2,193,77,71,22,32,222,1.01
