Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,TB,AL,122,1,3,4.60,6,4,0,29.1,23,17,15,3,13,36,1.23
2013,TB,AL,525,9,7,3.22,23,23,0,128.2,107,49,46,15,38,101,1.13
2014,TB,AL,822,10,9,3.33,32,32,0,194.2,177,85,72,12,72,173,1.28
2015,TB,AL,868,12,13,3.23,34,34,0,212.0,175,85,76,19,66,252,1.14
2016,TB,AL,850,9,19,4.02,33,33,0,201.1,183,100,90,30,67,233,1.24
2017,TB,AL,852,10,12,4.07,34,34,0,201.0,193,101,91,27,60,249,1.26
2018,TB,AL,413,3,5,4.31,17,17,0,96.0,102,50,46,11,31,102,1.39
2018,PIT,NL,225,3,3,4.30,10,10,0,52.1,53,27,25,8,18,60,1.36
2018,2 Teams,,638,6,8,4.31,27,27,0,148.1,155,77,71,19,49,162,1.38
2019,PIT,NL,526,3,9,5.19,23,23,0,119.2,114,73,69,25,55,143,1.41
2021,TB,AL,83,1,1,4.66,6,5,0,19.1,18,11,10,3,8,21,1.34
