Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020,PHI,NL,44,1,0,3.97,9,0,0,11.1,5,5,5,3,5,17,0.88
2021,PHI,NL,235,5,4,3.43,56,1,1,57.2,47,27,22,6,18,50,1.13
2022,PHI,NL,188,2,2,3.27,47,0,2,44.0,44,16,16,6,11,50,1.25
