Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2001,FLA,NL,99,2,2,1.50,4,4,0,24.0,14,9,4,3,11,24,1.04
2002,FLA,NL,454,6,7,4.10,23,21,0,107.2,93,56,49,13,44,113,1.27
2003,FLA,NL,601,9,8,3.04,24,23,0,142.0,132,54,48,9,56,152,1.32
2004,FLA,NL,654,9,9,3.79,26,26,0,156.2,137,72,66,16,54,152,1.22
2005,FLA,NL,728,15,8,3.38,29,29,0,178.2,153,75,67,14,58,166,1.18
2006,BOS,AL,869,16,11,5.01,33,33,0,204.2,191,120,114,36,74,158,1.29
2007,BOS,AL,822,20,7,3.27,30,30,0,200.2,189,76,73,17,40,194,1.14
2008,BOS,AL,725,12,10,4.03,27,27,0,174.1,173,80,78,18,34,172,1.19
2009,BOS,AL,883,17,6,3.86,32,32,0,212.1,198,99,91,25,55,199,1.19
2010,BOS,AL,577,6,6,5.78,21,21,0,127.2,151,89,82,20,45,116,1.54
2011,BOS,AL,767,13,7,2.89,30,30,0,193.0,146,65,62,21,52,175,1.03
2012,BOS,AL,547,5,11,5.23,21,21,0,127.1,131,75,74,16,38,94,1.33
2012,LAD,NL,183,2,3,2.93,7,7,0,43.0,43,16,14,5,14,38,1.33
2012,2 Teams,,730,7,14,4.65,28,28,0,170.1,174,91,88,21,52,132,1.33
2013,LAD,NL,195,0,5,5.19,8,8,0,43.1,50,30,25,8,15,41,1.50
