Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,TEX,AL,37,0,1,0.96,8,0,0,9.1,9,1,1,0,2,4,1.18
2006,TEX,AL,175,0,2,3.92,36,0,0,41.1,42,19,18,4,10,30,1.26
2007,TEX,AL,192,1,2,5.77,29,0,0,39.0,44,26,25,3,32,19,1.95
2008,TEX,AL,651,6,8,5.29,28,25,0,151.1,161,103,89,22,56,74,1.43
2009,TEX,AL,791,17,8,4.08,34,31,0,189.2,178,87,86,18,65,113,1.28
2010,TEX,AL,641,7,11,5.48,29,22,0,141.1,181,98,86,18,45,75,1.60
2011,TEX,AL,129,2,1,3.94,11,2,0,32.0,25,14,14,3,10,22,1.09
2012,TEX,AL,536,6,11,5.09,29,21,0,123.2,139,79,70,14,32,96,1.38
2013,CHC,NL,376,7,6,3.46,15,15,0,91.0,79,42,35,10,25,67,1.14
2013,BAL,AL,382,5,6,4.27,15,15,0,90.2,80,45,43,9,31,65,1.22
2013,2 Teams,,758,12,12,3.86,30,30,0,181.2,159,87,78,19,56,132,1.18
2014,HOU,AL,765,8,12,3.74,29,29,0,180.1,185,86,75,16,50,107,1.30
2015,HOU,AL,451,5,5,3.90,18,18,0,108.1,115,49,47,13,27,61,1.31
2016,HOU,AL,265,5,3,2.90,26,5,0,62.0,64,27,20,8,13,42,1.24
2016,TOR,AL,73,2,1,8.40,14,0,0,15.0,23,15,14,2,6,14,1.93
2016,2 Teams,,338,7,4,3.97,40,5,0,77.0,87,42,34,10,19,56,1.38
