Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2001,CLE,AL,763,17,5,4.39,33,33,0,180.1,149,93,88,19,95,171,1.35
2002,CLE,AL,891,13,11,4.37,33,33,0,210.0,198,109,102,17,88,149,1.36
2003,CLE,AL,832,13,9,3.60,30,30,0,197.2,190,85,79,19,66,141,1.30
2004,CLE,AL,787,11,10,4.12,30,30,0,188.0,176,90,86,20,72,139,1.32
2005,CLE,AL,823,15,10,4.03,31,31,0,196.2,185,92,88,19,62,161,1.26
2006,CLE,AL,802,12,11,3.22,28,28,0,192.2,182,83,69,17,44,172,1.17
2007,CLE,AL,975,19,7,3.21,34,34,0,241.0,238,94,86,20,37,209,1.14
2008,CLE,AL,507,6,8,3.83,18,18,0,122.1,117,54,52,13,34,123,1.23
2008,MIL,NL,516,11,2,1.65,17,17,0,130.2,106,31,24,6,25,128,1.00
2008,2 Teams,,1023,17,10,2.70,35,35,0,253.0,223,85,76,19,59,251,1.11
2009,NYY,AL,938,19,8,3.37,34,34,0,230.0,197,96,86,18,67,197,1.15
2010,NYY,AL,970,21,7,3.18,34,34,0,237.2,209,92,84,20,74,197,1.19
2011,NYY,AL,985,19,8,3.00,33,33,0,237.1,230,87,79,17,61,230,1.23
2012,NYY,AL,833,15,6,3.38,28,28,0,200.0,184,89,75,22,44,197,1.14
2013,NYY,AL,908,14,13,4.78,32,32,0,211.0,224,122,112,28,65,175,1.37
2014,NYY,AL,209,3,4,5.28,8,8,0,46.0,58,31,27,10,10,48,1.48
2015,NYY,AL,726,6,10,4.73,29,29,0,167.1,188,92,88,28,50,137,1.42
2016,NYY,AL,768,9,12,3.91,30,30,0,179.2,172,83,78,22,65,152,1.32
2017,NYY,AL,623,14,5,3.69,27,27,0,148.2,139,64,61,21,50,120,1.27
2018,NYY,AL,665,9,7,3.65,29,29,0,153.0,150,72,62,19,51,140,1.31
