Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,STL,NL,156,4,2,4.15,10,5,0,34.2,32,16,16,4,21,31,1.53
2015,STL,NL,16,0,0,13.50,1,1,0,2.2,7,4,4,1,1,1,3.00
2017,STL,NL,16,0,0,13.50,1,1,0,3.1,6,5,5,3,0,2,1.80
2017,SEA,AL,169,1,1,5.40,10,7,0,36.2,53,22,22,5,11,30,1.75
2017,2 Teams,,185,1,1,6.08,11,8,0,40.0,59,27,27,8,11,32,1.75
2018,SEA,AL,686,13,9,4.00,29,29,0,166.2,172,76,74,17,32,145,1.22
2019,SEA,AL,866,16,13,3.99,34,34,0,203.0,210,106,90,23,56,147,1.31
2020,SEA,AL,277,7,2,3.10,11,11,0,69.2,59,27,24,8,7,64,0.95
2021,SEA,AL,585,10,6,3.96,25,25,0,143.1,125,64,63,29,42,108,1.17
2022,SEA,AL,783,10,15,4.13,32,32,0,183.0,194,97,84,30,50,103,1.33
