Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,STL,NL,457,5,7,3.53,24,16,0,107.0,112,50,42,10,36,75,1.38
2013,STL,NL,532,10,5,2.69,37,15,0,124.0,124,42,37,10,44,79,1.35
2014,STL,NL,156,2,2,4.37,7,7,0,35.0,41,19,17,3,10,25,1.46
2014,BOS,AL,259,4,2,4.11,10,10,0,61.1,47,29,28,5,32,41,1.29
2014,2 Teams,,415,6,4,4.20,17,17,0,96.1,88,48,45,8,42,66,1.35
2015,BOS,AL,587,10,6,4.82,25,25,0,134.1,145,76,72,15,49,110,1.44
2016,BOS,AL,188,4,0,5.18,20,6,0,40.0,44,23,23,5,24,48,1.70
2017,BOS,AL,238,4,1,2.79,54,0,0,58.0,42,19,18,3,27,52,1.19
2018,BOS,AL,285,4,2,4.39,73,0,2,65.2,57,34,32,4,32,68,1.36
2019,LAD,NL,226,5,4,4.56,55,0,1,51.1,49,31,26,6,22,62,1.38
2020,LAD,NL,42,0,0,1.80,12,1,0,10.0,8,3,2,0,7,9,1.50
2021,LAD,NL,182,2,0,2.86,48,0,2,44.0,28,16,14,3,15,50,0.98
2022,CWS,AL,170,1,3,6.08,43,1,1,37.0,36,26,25,2,23,53,1.59
