Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,WSH,NL,391,3,5,4.63,16,16,0,91.1,95,51,47,10,29,92,1.36
2010,WSH,NL,135,1,2,4.94,7,7,0,31.0,31,20,17,8,10,27,1.32
2011,WSH,NL,662,8,11,3.18,26,26,0,161.1,154,62,57,12,31,124,1.15
2012,WSH,NL,805,12,8,2.94,32,32,0,195.2,186,69,64,18,43,153,1.17
2013,WSH,NL,865,19,9,3.25,32,32,0,213.1,192,81,77,19,40,161,1.09
2014,WSH,NL,800,14,5,2.66,32,32,0,199.2,185,67,59,13,29,182,1.07
2015,WSH,NL,831,13,10,3.66,33,33,0,201.2,204,89,82,24,39,164,1.20
2016,DET,AL,450,9,7,4.87,19,18,0,105.1,118,63,57,14,26,66,1.37
2017,DET,AL,713,8,13,6.08,29,29,0,160.0,204,111,108,29,44,103,1.55
2018,DET,AL,556,7,8,4.52,25,25,0,131.1,140,76,66,28,26,111,1.26
2019,DET,AL,504,1,13,6.91,23,23,0,112.0,145,89,86,19,25,82,1.52
2020,DET,AL,28,0,0,7.94,3,2,0,5.2,11,6,5,0,2,6,2.29
