Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,STL,NL,110,0,2,8.46,5,3,0,22.1,37,21,21,5,9,12,2.06
2012,COL,NL,339,5,1,4.56,53,0,0,79.0,76,42,40,9,34,81,1.39
2013,COL,NL,335,1,3,2.64,51,0,0,78.1,73,27,23,5,31,78,1.33
2014,COL,NL,272,1,4,3.60,75,0,1,65.0,67,26,26,6,16,70,1.28
2015,COL,NL,35,1,0,0.00,10,0,3,10.1,3,0,0,0,2,13,0.48
2016,COL,NL,107,1,3,2.67,34,0,7,27.0,18,9,8,3,7,35,0.93
2017,COL,NL,243,2,3,5.06,63,0,0,53.1,48,30,30,8,39,63,1.63
2018,COL,NL,309,6,4,2.43,75,0,6,77.2,41,25,21,5,36,112,0.99
2019,NYY,AL,283,6,5,1.90,73,0,2,66.1,47,17,14,5,40,88,1.31
2020,NYY,AL,85,2,3,5.89,24,0,0,18.1,20,12,12,2,9,25,1.58
2021,BOS,AL,276,7,3,4.21,69,0,11,62.0,55,31,29,5,35,71,1.45
2022,NYM,NL,258,6,3,2.06,66,0,3,65.2,48,15,15,6,16,79,0.97
