Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1995,NYM,NL,385,9,2,2.81,14,14,0,93.0,88,29,29,6,31,55,1.28
1996,NYM,NL,766,6,14,4.77,27,27,0,171.2,190,103,91,13,73,114,1.53
1997,NYM,NL,145,2,2,7.58,6,6,0,29.2,40,27,25,3,22,25,2.09
1999,NYM,NL,179,1,3,6.41,13,5,1,39.1,43,29,28,7,22,31,1.65
1999,OAK,AL,107,0,1,2.13,20,0,8,25.1,21,6,6,2,12,20,1.30
1999,2 Teams,,286,1,4,4.73,33,5,9,64.2,64,35,34,9,34,51,1.52
2000,OAK,AL,304,6,4,3.78,66,0,33,69.0,67,34,29,6,32,57,1.43
2001,OAK,AL,293,4,3,2.65,65,0,34,71.1,54,24,21,5,23,74,1.08
2002,STL,NL,257,3,2,2.48,60,0,32,65.1,46,22,18,0,18,68,0.98
2003,STL,NL,174,0,1,2.36,40,0,22,42.0,31,14,11,2,18,41,1.17
2004,STL,NL,308,4,2,2.87,74,0,47,75.1,55,27,24,5,23,71,1.04
2005,STL,NL,245,1,2,2.14,63,0,39,59.0,43,14,14,4,27,51,1.19
2006,STL,NL,257,4,8,3.55,59,0,33,58.1,47,25,23,10,38,52,1.46
2007,STL,NL,267,4,0,2.48,63,0,32,65.1,42,21,18,4,28,54,1.07
2008,STL,NL,200,1,5,5.70,42,0,12,42.2,48,28,27,5,22,36,1.64
2009,TB,AL,37,0,1,2.25,9,0,0,8.0,6,2,2,0,5,6,1.38
2011,NYM,NL,200,3,3,4.05,53,0,7,46.2,36,23,21,6,24,44,1.29
