Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,BOS,AL,180,6,3,4.97,20,3,0,41.2,44,23,23,5,15,47,1.42
2014,BOS,AL,378,1,10,5.17,19,15,0,87.0,88,57,50,11,36,70,1.43
2017,BOS,AL,162,1,1,3.18,33,0,0,39.2,37,17,14,7,11,37,1.21
2018,BOS,AL,167,6,1,3.27,43,0,0,41.1,34,15,15,6,16,37,1.21
2019,BOS,AL,286,10,1,1.88,73,0,16,71.2,29,18,15,1,45,104,1.03
2020,BOS,AL,31,0,0,4.05,7,0,4,6.2,8,3,3,0,4,8,1.80
2020,PHI,NL,70,1,4,6.92,14,0,5,13.0,23,11,10,4,9,15,2.46
2020,2 Teams,,101,1,4,5.95,21,0,9,19.2,31,14,13,4,13,23,2.24
2021,CHC,NL,43,0,2,6.75,10,0,0,8.0,12,9,6,2,7,11,2.38
2021,BOS,AL,93,1,0,4.95,19,0,0,20.0,24,11,11,2,14,14,1.90
