Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,OAK,AL,261,5,3,2.67,12,10,0,64.0,51,22,19,4,20,67,1.11
2014,OAK,AL,899,14,10,3.08,33,33,0,219.0,187,84,75,15,74,183,1.19
2015,OAK,AL,831,14,7,2.73,31,31,0,208.0,166,71,63,17,59,169,1.08
2016,OAK,AL,517,5,11,5.69,22,22,0,117.0,133,80,74,18,42,94,1.50
2017,OAK,AL,400,6,5,3.43,16,16,0,97.0,84,48,37,8,30,94,1.18
2017,NYY,AL,278,4,7,3.72,11,11,0,65.1,55,31,27,11,27,59,1.26
2017,2 Teams,,678,10,12,3.55,27,27,0,162.1,139,79,64,19,57,153,1.21
2018,NYY,AL,582,11,9,4.90,30,23,0,130.1,138,73,71,14,57,123,1.50
2019,CIN,NL,708,11,8,2.87,31,31,0,175.1,122,59,56,17,68,205,1.08
2020,CIN,NL,235,5,3,3.70,11,11,0,56.0,42,26,23,4,26,72,1.21
2021,CIN,NL,575,7,9,4.19,26,26,0,135.1,115,67,63,19,50,155,1.22
2022,MIN,AL,488,8,5,3.08,24,24,0,119.2,99,44,41,11,36,117,1.13
