Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,CWS,AL,277,3,2,4.03,12,10,0,67.0,62,30,30,13,17,48,1.18
2006,CWS,AL,354,4,7,4.68,53,2,0,84.2,77,44,44,17,33,69,1.30
2007,TEX,AL,459,5,10,4.87,23,22,0,101.2,111,62,55,9,48,59,1.56
2008,TEX,AL,93,1,1,4.09,5,5,0,22.0,20,11,10,3,8,10,1.27
2009,TEX,AL,420,7,4,4.62,17,17,0,97.1,96,55,50,13,36,65,1.36
2011,OAK,AL,690,9,9,3.32,25,25,0,170.2,168,73,63,11,25,123,1.13
2012,OAK,AL,469,8,6,3.24,18,18,0,111.0,115,44,40,10,24,73,1.25
2013,AZ,NL,577,5,11,4.53,22,22,0,135.0,161,71,68,13,21,76,1.35
2014,AZ,NL,466,3,10,5.01,18,18,0,109.2,131,65,61,15,20,93,1.38
2014,NYY,AL,370,7,5,2.89,14,14,0,90.1,91,35,29,10,13,82,1.15
2014,2 Teams,,836,10,15,4.05,32,32,0,200.0,222,100,90,25,33,175,1.28
2015,LAD,NL,94,3,0,5.87,4,4,0,23.0,24,15,15,9,4,29,1.22
2016,LAD,NL,171,2,3,4.95,10,9,0,40.0,29,24,22,2,26,44,1.38
2017,LAD,NL,384,6,4,3.98,19,16,0,92.2,89,43,41,5,27,72,1.25
