Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019,NYY,AL,9,0,0,0.00,1,0,0,2.0,2,1,0,0,0,1,1.00
2020,NYY,AL,121,1,2,7.76,9,4,0,26.2,30,23,23,5,11,26,1.54
2021,NYY,AL,275,2,4,3.55,22,6,0,63.1,57,29,25,6,24,62,1.28
2022,NYY,AL,199,6,3,2.29,34,0,1,51.0,35,15,13,3,16,66,1.00
