Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,31,1995,414,18,4.3,3.2,89.2,114.8,4.1,28.5,.263,.394,.333,.321,.355,37.2,17.1,7.3,4.81,4.28
2016,32,276,44,2,4.5,2.8,88.6,114.1,5.4,36.4,.266,.353,.294,.316,.386,38.6,26.8,11.3,4.15,4.22
2017,33,2387,390,18,4.6,2.9,85.4,112.8,7.1,32.6,.229,.357,.301,.294,.354,29.8,26.4,8.1,3.62,3.68
2018,34,2688,413,24,5.8,3.5,87.5,110.9,7.7,32.0,.205,.326,.293,.284,.343,31.0,28.9,9.2,3.13,3.37
2019,35,3139,481,24,5.0,3.0,86.9,112.1,9.2,34.3,.216,.337,.270,.274,.351,32.8,30.4,7.2,3.05,3.26
2020,36,660,114,9,7.9,5.3,89.4,109.8,11.6,36.0,.239,.384,.330,.305,.368,35.1,24.7,5.9,4.74,3.93
2021,37,2987,465,23,4.9,3.0,88.1,115.5,7.7,29.9,.217,.332,.264,.282,.348,32.5,28.6,7.7,3.35,3.32
2022,38,2903,442,42,9.5,5.8,89.3,115.8,13.6,38.0,.228,.389,.320,.314,.390,42.1,28.2,8.7,4.34,4.11
