Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2019,24,137,11,1,9.1,3.8,90.6,108.2,2.3,45.5,.195,.304,.286,.282,.416,36.4,42.3,15.4,1.42,3.46
2020,25,145,28,2,7.1,5.4,90.9,105.3,11.3,35.7,.280,.489,.308,.352,.389,50.0,16.2,5.4,4.15,5.41
2021,26,139,27,2,7.4,5.6,90.5,109.1,9.5,25.9,.256,.378,.323,.308,.333,40.7,16.7,8.3,4.15,4.01
2022,27,661,100,5,5.0,3.2,90.4,110.1,14.5,31.0,.205,.311,.272,.260,.325,44.0,28.7,7.6,2.52,2.76
