Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,23,682,129,3,2.3,1.6,88.9,112.3,11.0,27.9,.255,.367,.364,.308,.364,41.9,21.6,7.6,5.53,3.91
2016,24,2793,455,28,6.2,3.9,88.2,113.5,12.4,36.0,.238,.386,.307,.310,.379,34.7,26.0,8.3,4.61,4.05
2017,25,1833,317,13,4.1,2.8,85.7,115.5,7.4,33.8,.253,.379,.309,.300,.367,31.8,24.3,6.5,3.67,3.84
2018,26,2800,501,29,5.8,3.9,89.8,116.8,9.7,31.9,.246,.392,.332,.307,.376,37.9,24.7,7.0,5.12,3.98
2019,27,2373,427,25,5.9,3.9,89.9,116.2,8.4,31.6,.268,.426,.323,.328,.396,43.8,23.5,8.8,3.84,4.79
2020,28,658,139,11,7.9,6.3,90.3,109.2,15.9,38.1,.296,.494,.347,.363,.388,46.0,12.6,6.3,6.69,5.81
2021,29,2537,421,29,6.9,4.5,89.0,113.9,9.5,30.4,.235,.378,.320,.305,.360,38.2,24.4,9.0,4.59,3.92
2022,30,2062,342,21,6.1,4.0,88.0,116.5,11.1,34.8,.230,.367,.292,.295,.359,38.0,25.7,7.5,3.96,3.59
