Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2016,24,2169,429,29,6.8,4.9,89.9,113.6,11.7,31.0,.253,.440,.306,.321,.382,38.9,20.9,6.2,3.86,4.37
2017,25,2688,486,28,5.8,4.1,89.4,116.2,12.6,32.3,.264,.426,.329,.329,.375,41.2,20.3,8.0,4.37,4.70
2018,26,2371,506,40,7.9,6.1,89.5,116.2,12.1,31.6,.262,.452,.287,.329,.372,39.7,16.5,4.9,3.58,4.63
2019,27,444,70,3,4.3,2.8,89.5,109.9,16.9,32.9,.215,.366,.224,.281,.347,37.1,27.5,6.4,1.21,3.43
2020,28,812,168,12,7.1,5.4,90.6,110.9,9.4,28.6,.266,.415,.309,.306,.368,44.6,20.3,3.6,4.50,3.96
2021,29,2980,510,41,8.0,5.4,90.2,115.3,13.3,34.5,.249,.419,.310,.312,.393,41.2,25.7,5.4,3.91,4.12
2022,30,2482,462,42,9.1,6.3,90.3,113.3,16.3,32.7,.240,.407,.330,.312,.376,42.9,23.2,7.5,4.96,4.05
