Season,Age,Pitches,Batted Balls,Barrels,Barrel %,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
2015,30,1127,185,10,5.4,3.6,87.1,112.2,8.0,29.2,.220,.362,.234,.289,.351,28.1,24.6,8.0,1.90,3.41
2016,31,1045,170,5,2.9,2.0,89.8,110.7,5.7,23.5,.217,.318,.247,.256,.324,35.3,27.1,5.9,2.25,2.71
2017,32,670,118,7,5.9,4.0,85.7,112.0,11.1,26.3,.211,.336,.262,.250,.336,30.8,29.4,4.0,2.98,2.63
2018,33,887,150,8,5.3,3.5,85.8,114.5,3.2,34.7,.239,.362,.260,.287,.369,29.3,27.8,6.1,3.49,3.45
2019,34,935,153,9,5.9,3.9,87.5,111.3,4.1,28.1,.217,.356,.235,.270,.342,31.8,27.1,6.1,1.50,3.16
2020,35,349,54,5,9.3,6.0,91.2,111.4,10.5,35.2,.267,.451,.347,.348,.426,46.3,25.0,10.7,3.06,5.27
