Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2004,CLE,AL,49,0,0,4.63,6,0,0,11.2,9,6,6,1,6,7,1.29
2005,CLE,AL,29,0,0,6.00,1,0,0,6.0,9,4,4,2,2,3,1.83
2006,CLE,AL,93,0,0,6.98,9,1,0,19.1,24,15,15,2,15,14,2.02
2007,BAL,AL,723,7,5,3.70,32,26,0,175.1,165,78,72,23,47,123,1.21
2008,BAL,AL,796,10,12,3.63,30,30,0,190.2,176,82,77,24,58,120,1.23
2009,BAL,AL,874,10,17,5.04,33,33,0,200.0,224,120,112,35,60,110,1.42
2010,BAL,AL,872,11,14,3.83,32,32,0,209.1,193,93,89,25,50,119,1.16
2011,BAL,AL,889,9,17,4.33,34,32,0,208.0,213,113,100,26,66,130,1.34
2012,COL,NL,422,3,9,6.35,19,15,0,90.2,122,72,64,21,31,45,1.69
2012,KC,AL,366,5,3,3.16,14,14,0,91.0,84,37,32,9,19,56,1.13
2012,2 Teams,,788,8,12,4.76,33,29,0,181.2,206,109,96,30,50,101,1.41
2013,KC,AL,905,15,12,4.04,33,33,0,211.2,236,99,95,30,59,111,1.39
2014,KC,AL,864,13,11,4.13,32,32,0,202.2,215,100,93,23,49,124,1.30
2015,KC,AL,664,8,8,5.95,30,24,0,148.1,186,101,98,29,44,84,1.55
