Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2002,TEX,AL,168,1,3,6.29,15,4,0,34.1,42,26,24,4,26,28,1.98
2003,TEX,AL,594,10,9,7.30,26,26,0,127.0,163,104,103,23,70,88,1.83
2004,TEX,AL,71,1,1,4.11,3,3,0,15.1,13,7,7,1,13,11,1.70
2006,DET,AL,18,0,0,3.00,2,0,0,3.0,8,1,1,1,1,5,3.00
2007,OAK,AL,170,0,2,6.45,26,1,0,37.2,44,28,27,7,14,23,1.54
2010,TEX,AL,844,12,13,3.72,32,32,0,201.0,174,90,83,21,65,196,1.19
2011,TEX,AL,839,14,10,4.40,32,32,0,200.1,187,103,98,35,56,169,1.21
2012,TEX,AL,427,6,6,3.43,16,16,0,105.0,99,48,40,16,14,93,1.08
2014,TEX,AL,762,10,14,5.18,29,29,0,170.1,211,107,98,25,48,133,1.52
2015,TEX,AL,861,17,9,4.66,33,33,0,204.2,211,114,106,26,42,142,1.24
