Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1991,BAL,AL,349,4,5,2.87,12,12,0,87.2,77,31,28,7,21,52,1.12
1992,BAL,AL,957,18,5,2.54,32,32,0,241.0,212,70,68,16,48,130,1.08
1993,BAL,AL,693,14,6,4.46,25,25,0,167.2,163,84,83,20,44,117,1.23
1994,BAL,AL,712,16,5,3.06,24,24,0,176.1,163,63,60,19,42,99,1.16
1995,BAL,AL,882,19,9,3.29,32,32,0,221.2,187,86,81,24,50,158,1.07
1996,BAL,AL,1039,19,11,4.81,36,36,0,243.1,264,137,130,31,69,204,1.37
1997,BAL,AL,905,15,8,3.20,33,33,0,224.2,197,87,80,27,54,218,1.12
1998,BAL,AL,835,13,10,3.49,29,29,0,206.1,189,85,80,22,41,175,1.11
1999,BAL,AL,842,18,7,3.50,31,31,0,203.1,207,88,79,16,52,172,1.27
2000,BAL,AL,987,11,15,3.79,34,34,0,237.2,236,105,100,28,46,210,1.19
2001,NYY,AL,909,17,11,3.15,34,34,0,228.2,202,87,80,20,42,214,1.07
2002,NYY,AL,886,18,10,4.05,33,33,0,215.2,208,103,97,27,48,182,1.19
2003,NYY,AL,855,17,8,3.40,31,31,0,214.2,192,86,81,21,40,195,1.08
2004,NYY,AL,697,12,9,4.59,27,27,0,164.2,178,91,84,22,40,132,1.32
2005,NYY,AL,766,13,8,4.41,30,30,0,179.2,199,93,88,23,47,142,1.37
2006,NYY,AL,804,15,7,3.51,32,32,0,197.1,184,88,77,22,35,172,1.11
2007,NYY,AL,656,11,10,5.15,28,27,0,152.0,188,90,87,14,35,91,1.47
