Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,LAD,NL,146,1,2,3.63,10,6,0,34.2,28,14,14,2,20,23,1.38
2012,LAD,NL,241,1,6,4.15,10,10,0,56.1,63,27,26,5,20,34,1.47
2012,MIA,NL,285,3,7,4.43,12,12,0,63.0,70,32,31,5,27,44,1.54
2012,2 Teams,,526,4,13,4.30,22,22,0,119.1,133,59,57,10,47,78,1.51
2013,MIA,NL,451,4,6,3.39,18,18,0,106.1,100,44,40,7,40,78,1.32
2014,MIA,NL,854,6,14,4.37,33,33,0,199.2,223,107,97,14,43,142,1.33
2015,NYY,AL,673,14,3,4.20,27,27,0,154.1,175,72,72,10,49,121,1.45
2016,NYY,AL,525,9,8,4.76,24,21,0,124.2,123,66,66,23,40,97,1.31
2018,TB,AL,224,3,4,4.26,10,10,0,57.0,48,27,27,11,8,53,0.98
2018,BOS,AL,231,3,3,3.33,12,11,0,54.0,57,28,20,3,12,48,1.28
2018,2 Teams,,455,6,7,3.81,22,21,0,111.0,105,55,47,14,20,101,1.13
2019,BOS,AL,302,2,1,5.99,23,12,0,67.2,72,46,45,16,35,70,1.58
2020,BOS,AL,199,4,2,3.72,9,9,0,48.1,51,20,20,8,7,52,1.20
2021,BOS,AL,764,11,9,3.75,32,32,0,182.1,182,81,76,15,35,195,1.19
2022,BOS,AL,460,6,3,3.87,20,20,0,109.1,115,55,47,21,20,103,1.23
