Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,FLA,NL,263,1,8,4.20,12,12,0,60.0,53,32,28,10,35,38,1.47
2012,MIA,NL,23,0,1,17.18,1,1,0,3.2,6,7,7,1,6,3,3.27
2013,MIA,NL,82,1,1,3.05,7,2,0,20.2,13,7,7,2,8,15,1.02
2014,MIA,NL,474,3,8,4.38,32,16,1,111.0,112,56,54,10,39,67,1.36
2015,MIA,NL,408,4,7,5.30,38,12,0,93.1,107,55,55,9,32,67,1.49
2016,SD,NL,364,4,4,2.92,82,0,1,89.1,63,32,29,8,36,111,1.11
2017,SD,NL,311,3,4,2.16,72,0,21,79.1,54,20,19,9,20,104,0.93
2018,SD,NL,186,2,4,3.05,41,0,24,44.1,33,21,15,5,15,65,1.08
2018,CLE,AL,115,0,1,2.28,28,0,8,27.2,19,7,7,3,13,41,1.16
2018,2 Teams,,301,2,5,2.75,69,0,32,72.0,52,28,22,8,28,106,1.11
2019,CLE,AL,242,6,4,3.30,60,0,34,57.1,53,21,21,6,18,84,1.24
2020,CLE,AL,86,2,1,2.05,23,0,16,22.0,13,8,5,0,4,29,0.77
2021,WSH,NL,182,5,5,3.59,41,0,21,42.2,31,22,17,5,18,42,1.15
2021,TOR,AL,41,0,2,7.27,11,0,0,8.2,13,10,7,3,3,5,1.85
2021,NYM,NL,55,1,0,2.70,16,0,0,13.1,12,7,4,1,5,14,1.28
2021,3 Teams,,278,6,7,3.90,68,0,21,64.2,56,39,28,9,26,61,1.27
2022,PHI,NL,198,3,2,2.80,55,0,5,45.0,37,18,14,2,23,38,1.33
