Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2020,TB,AL,130,5,0,2.78,7,5,0,32.1,28,10,10,5,7,25,1.08
2021,TB,AL,448,10,8,5.09,26,11,1,104.1,110,60,59,11,31,65,1.35
2022,TB,AL,169,2,5,6.43,10,3,0,35.0,54,36,25,5,12,29,1.89
