Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,ATL,NL,185,3,2,5.98,9,8,0,40.2,53,28,27,6,11,43,1.57
2011,ATL,NL,361,5,3,4.14,15,15,0,82.2,93,39,38,7,30,77,1.49
2012,ATL,NL,728,11,10,4.12,30,30,0,179.1,151,88,82,26,56,145,1.15
2013,ATL,NL,820,13,9,3.21,32,32,0,204.2,177,79,73,22,46,181,1.09
2014,ATL,NL,637,6,12,4.77,25,25,0,145.1,165,77,77,21,44,120,1.44
2017,KC,AL,307,6,6,2.55,65,0,6,77.2,57,23,22,5,22,88,1.02
2018,TEX,AL,640,12,8,4.18,28,28,0,157.0,138,76,73,25,38,132,1.12
2019,TEX,AL,863,14,10,3.59,32,32,0,208.1,190,86,83,30,68,200,1.24
2020,TEX,AL,155,0,5,5.60,7,7,0,35.1,35,23,22,7,13,35,1.36
2020,OAK,AL,84,1,1,5.48,5,4,0,21.1,15,13,13,4,7,27,1.03
2020,2 Teams,,239,1,6,5.56,12,11,0,56.2,50,36,35,11,20,62,1.24
2021,KC,AL,669,8,12,5.05,28,28,0,158.2,156,92,89,26,41,149,1.24
