Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2017,MIL,NL,188,2,3,2.08,35,0,0,47.2,25,11,11,4,22,68,0.99
2018,MIL,NL,306,6,1,2.43,55,0,12,81.1,36,23,22,9,30,143,0.81
2019,MIL,NL,289,3,5,2.62,61,0,37,75.2,41,24,22,15,20,138,0.81
2020,MIL,NL,78,1,2,3.79,21,0,13,19.0,8,8,8,3,10,31,0.95
2021,MIL,NL,224,4,2,1.23,60,0,34,58.2,25,8,8,3,24,102,0.84
2022,MIL,NL,141,1,4,4.24,37,0,29,34.0,26,16,16,7,12,59,1.12
2022,SD,NL,78,1,1,7.31,19,0,7,16.0,17,14,13,1,9,22,1.63
2022,2 Teams,,219,2,5,5.22,56,0,36,50.0,43,30,29,8,21,81,1.28
