Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,TB,AL,208,0,6,7.77,9,9,0,44.0,61,38,38,7,21,32,1.86
2007,TB,AL,384,3,5,6.14,24,14,0,85.0,100,58,58,12,40,64,1.65
2008,TB,AL,346,4,4,4.60,40,5,2,78.1,83,45,40,11,35,44,1.51
2009,COL,NL,771,10,8,4.33,34,30,0,176.2,203,94,85,17,42,133,1.39
2010,COL,NL,770,10,9,4.81,30,30,0,177.2,201,97,95,18,47,141,1.40
2011,COL,NL,739,7,13,4.76,32,27,1,170.1,175,100,90,21,68,94,1.43
2012,BAL,AL,493,8,6,3.43,20,20,0,118.0,104,48,45,9,42,113,1.24
2013,BAL,AL,611,7,8,4.97,26,23,1,139.1,155,81,77,22,48,96,1.46
2014,CHC,NL,429,8,5,2.98,17,17,0,108.2,88,36,36,10,23,104,1.02
2014,OAK,AL,286,2,6,4.26,13,12,0,67.2,66,34,32,13,21,54,1.29
2014,2 Teams,,715,10,11,3.47,30,29,0,176.1,154,70,68,23,44,158,1.12
2015,CHC,NL,710,10,7,3.74,31,31,0,170.2,158,79,71,23,40,172,1.16
2016,CHC,NL,692,15,10,3.83,30,30,0,166.2,148,77,71,25,53,144,1.21
2017,KC,AL,804,8,13,5.29,32,32,0,180.1,209,109,106,26,48,145,1.43
