Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,SF,NL,618,7,5,4.00,24,24,0,146.1,122,70,65,12,65,150,1.28
2008,SF,NL,928,18,5,2.62,34,33,0,227.0,182,72,66,11,84,265,1.17
2009,SF,NL,905,15,7,2.48,32,32,0,225.1,168,69,62,10,68,261,1.05
2010,SF,NL,897,16,10,3.43,33,33,0,212.1,194,84,81,18,76,231,1.27
2011,SF,NL,900,13,14,2.74,33,33,0,217.0,176,74,66,15,86,220,1.21
2012,SF,NL,825,10,15,5.18,33,33,0,186.0,183,111,107,23,90,190,1.47
2013,SF,NL,841,10,14,4.37,32,32,0,197.2,184,102,96,21,76,193,1.32
2014,SF,NL,673,12,9,4.74,33,26,1,155.2,154,86,82,19,63,134,1.39
2015,SF,NL,333,7,4,4.13,15,15,0,76.1,75,37,35,7,38,60,1.48
