Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,TEX,AL,220,1,7,6.94,24,6,1,48.0,63,39,37,5,18,30,1.69
2006,TEX,AL,191,2,4,4.06,44,0,1,44.1,39,23,20,7,18,43,1.29
2007,TEX,AL,285,2,1,3.03,66,0,12,68.1,50,25,23,4,33,63,1.21
2008,TEX,AL,214,2,2,6.02,50,0,24,46.1,49,35,31,8,27,41,1.64
2009,TEX,AL,323,5,6,2.81,74,0,14,73.2,66,29,23,3,32,84,1.33
2010,TEX,AL,850,15,8,3.35,33,33,0,204.0,161,83,76,10,93,170,1.25
2011,TEX,AL,915,16,7,2.94,34,34,0,223.1,191,89,73,16,74,206,1.19
2012,LAA,AL,865,13,10,3.83,34,34,0,202.1,181,102,86,19,91,173,1.34
2013,LAA,AL,913,17,7,3.39,33,33,0,212.1,200,93,80,15,85,188,1.34
2014,LAA,AL,761,13,10,4.51,31,31,0,175.2,169,95,88,17,85,151,1.45
